x,y,t,intensity
2000,1400,0,95
2001,1400,0,96
2002,1400,0,95
2003,1400,0,95
2004,1400,0,96
2005,1400,0,95
2006,1400,0,95
2007,1400,0,96
2008,1400,0,101
2009,1400,0,105
2010,1400,0,106
2011,1400,0,106
2012,1400,0,107
2013,1400,0,106
2014,1400,0,107
2015,1400,0,109
2016,1400,0,109
2017,1400,0,108
2018,1400,0,108
2019,1400,0,108
2020,1400,0,108
2021,1400,0,109
2022,1400,0,110
2023,1400,0,109
2024,1400,0,109
2025,1400,0,108
2026,1400,0,108
2027,1400,0,109
2028,1400,0,109
2029,1400,0,107
2030,1400,0,108
2031,1400,0,107
2032,1400,0,107
2033,1400,0,105
2034,1400,0,103
2035,1400,0,103
2036,1400,0,103
2037,1400,0,104
2038,1400,0,103
2039,1400,0,102
2040,1400,0,104
2041,1400,0,104
2042,1400,0,104
2043,1400,0,104
2044,1400,0,105
2045,1400,0,107
2046,1400,0,106
2047,1400,0,105
2048,1400,0,105
2049,1400,0,105
2050,1400,0,105
2051,1400,0,105
2052,1400,0,105
2053,1400,0,104
2054,1400,0,104
2055,1400,0,104
2056,1400,0,107
2057,1400,0,108
2058,1400,0,108
2059,1400,0,107
2060,1400,0,105
2061,1400,0,104
2062,1400,0,103
2063,1400,0,105
2064,1400,0,106
2065,1400,0,107
2066,1400,0,106
2067,1400,0,106
2068,1400,0,108
2069,1400,0,109
2070,1400,0,110
2071,1400,0,109
2072,1400,0,107
2073,1400,0,106
2074,1400,0,106
2075,1400,0,107
2076,1400,0,108
2077,1400,0,108
2078,1400,0,108
2079,1400,0,109
2080,1400,0,109
2081,1400,0,108
2082,1400,0,107
2083,1400,0,108
2084,1400,0,109
2085,1400,0,110
2086,1400,0,112
2087,1400,0,112
2088,1400,0,111
2089,1400,0,110
2090,1400,0,110
2091,1400,0,110
2092,1400,0,110
2093,1400,0,110
2094,1400,0,111
2095,1400,0,111
2096,1400,0,110
2097,1400,0,109
2098,1400,0,110
2099,1400,0,109
2000,1401,0,96
2001,1401,0,98
2002,1401,0,97
2003,1401,0,96
2004,1401,0,96
